[2025-09-03 13:31:17,919][midst_toolkit][INFO] - Running data processing pipeline...
[2025-09-03 13:31:21,730][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all.csv
[2025-09-03 13:31:22,901][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all_no_id.csv
[2025-09-03 13:31:22,961][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/challenge_points_all.csv
[2025-09-03 13:31:24,399][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all_no_challenge.csv
[2025-09-03 13:31:25,586][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all_no_challenge_no_id.csv
[2025-09-03 13:31:27,051][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all_with_challenge.csv
[2025-09-03 13:31:28,326][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/population_data/population_all_with_challenge_no_id.csv
[2025-09-03 13:31:28,392][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/attack_data/real_train.csv
[2025-09-03 13:31:28,407][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/attack_data/real_val.csv
[2025-09-03 13:31:28,421][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/attack_data/real_test.csv
[2025-09-03 13:31:28,450][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/attack_data/master_challenge_train.csv
[2025-09-03 13:31:28,479][midst_toolkit][INFO] - DataFrame saved to examples/ensemble_attack_example/data/attack_data/master_challenge_test.csv
[2025-09-03 13:31:28,479][midst_toolkit][INFO] - Data splits saved to examples/ensemble_attack_example/data/attack_data
[2025-09-03 13:31:28,480][midst_toolkit][INFO] - Data processing pipeline finished.
